Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude
Abersham Park,"22031 SHEARER RD DAVIDSON, NC 28036",Town Park,No,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.50550537,-80.79460561
Little Sugar Creek Community Garden,"1319 N ALEXANDER ST CHARLOTTE, NC 28206",Community Garden,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.23239923,-80.82260346
Flat Branch Nature Preserve,"11833 TOM SHORT RD CHARLOTTE, NC 28277",Nature Preserve,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0471086,-80.79338585
McDowell Creek Park,"8233 GILEAD RD HUNTERSVILLE, NC 28078",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.40693316,-80.88652581
Reedy Creek Nature Center,"2986 ROCKY RIVER RD CHARLOTTE, NC 28215",Nature Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.27651176,-80.71708421
Marion Diehl Park,"2219 TYVOLA RD CHARLOTTE, NC 28210",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,35.15933804,-80.85887437
Lake Davidson Nature Preserve,"750 JETTON ST DAVIDSON, NC 28036",Nature Preserve,No,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.50329555,-80.86128925
North & South Lawn Park,"185 HARPER LEE ST DAVIDSON, NC 28036",Town Park,No,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.49619625,-80.83079953
Caldwell Green Tot Lot,"320 CALDWELL LN DAVIDSON, NC 28036",Town Park,No,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,35.49320764,-80.83246687
Faulkner Square Park,"266 CONROY AV DAVIDSON, NC 28036",Town Park,No,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.49515303,-80.83317917
Southview Recreation Center,"1720 VILMA ST CHARLOTTE, NC 28208",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.21003793,-80.91713929
Fisher Farm Park,"21135 FISHER RD DAVIDSON, NC 28036",Town Park,No,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.49451419,-80.79666615
McAlpine Creek Community Garden,"399 HOLLY LN CHARLOTTE, NC 28212",Community Garden,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.13608369,-80.77062433
Oehler Nature Preserve,"14511 HUNTERSVILLE-CONCORD RD CHARLOTTE, NC 28078",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.41471118,-80.80149041
Jetton Road Neighborhood Park,"16000 JETTON RD CORNELIUS, NC 28031",Town Park,No,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,35.47450886,-80.94032611
